moves,outcome,is_white
d4 d6 e4 e6 Nc3 Ne7 Nf3 g6 Bg5 Bg7 Qd2 h6 Be3 g5 h4 g4 Nh2 d5 Bd3 dxe4 Bxe4 f6 Nxg4 f5 Bf3 fxg4 Bxg4 Nf5 Bh5+ Kf8 O-O-O Nc6 Rdf1 Nce7 g4 Nd6 g5 Nc4 gxh6 Nxd2 hxg7+ Kxg7 Rfg1+ Kf8 Bg4 Nf5 Kxd2 Nxd4 Kc1 Nf5 Kb1 Nxe3 fxe3 Ke7 Rf1 Qg8 Be2 Qh7 Rfg1 Qh6 h5 Bd7 a3 Rag8 Rd1 Rg2 Rh2 Rxh2 Bd3 Rxh5 Ne4 Rh1 Be2 Rxd1+ Bxd1 Qh4 Nc3 Qh1 Kc1 Qxd1+ Kxd1 Bc6 Kd2 Rh7 Ne2 Rh5 Ke1 Rd5 Nd4 Re5 Kd2 Rxe3 Kxe3 Kd6 Ne2 Bd5 c3,-1,False
Nh3 d5 g3 Bf5 Bg2 e6 e3 Nf6 d3 Bg4 f3 Bxh3 Bxh3 Nbd7 b3 h5 Bb2 h4 g4 Bd6 f4 e5 g5 Nh7 Qf3 Qe7 Nc3 exf4 Nxd5 Nxg5 Qg4 Qd8 exf4 Nxh3 Qxh3 f6 Rg1 Kf7 Kd2 c6 Ne3 Bxf4 Raf1 Qa5+ Kc1 Bg5 Kb1 Rae8 Qxd7+ Re7 Qg4 Rxe3 Qxg5 Qxg5 Rxg5 Rhe8 Rg2 Re2 Rff2 Rxf2 Rxf2 Re1+ Bc1 Rg1 Kb2 h3 Be3 Rg2 Kc3 g5 Rxg2 hxg2 Bg1 g4 Kd2 f5 Ke3 Ke6 Kf4 Kf6 c4 c5 d4 cxd4 Bxd4+ Ke6 Bg1 a6 Kg3 b5 Kxg2 bxc4 h3 Ke5 hxg4 c3 Be3 Ke4 Bc1 c2 Kg3 Kd3 g5 Ke2 g6 Kd1 g7 Kxc1 g8=Q Kb1 Qg5 c1=Q Qxc1+ Kxc1 b4 Kb2 b5 Kxa2,1,False
d4 Nf6 c4 e6 Nc3 c5 d5 d6 e4 g6 Nge2 Bg7 Ng3 h5 Be2 h4 Nf1 h3 g4 e5 Ng3 Nh7 Be3 Bf6 f4 exf4 Bxf4 Bg5 Qd2 Nd7 O-O Bxf4 Qxf4 Ne5 Nd1 Qg5 Ne3 Qxf4 Rxf4 Ng5 Raf1 Bd7 b3 Ke7 Nh1 a6 Nf2 f6 Nd3 Raf8 Nxe5 fxe5 Rxf8 Rxf8 Rxf8 Kxf8 Bd3 Nf3+ Kf2 Nxh2 Be2 Kg7 Kg3 Kf6 Kxh2 Kg5 Kg3 h2 Kxh2 Kf4 Nf1 Kxe4 Kg3 g5 Kf2 Kf4 Ne3 b5 a3 Ke4 Nf5 Bxf5 gxf5 bxc4 Bxc4,-1,False
d4 d5 Bf4 e6 e3 Nf6 Nf3 Bd6 Bxd6 Qxd6 c4 dxc4 Bxc4 Qb4+ Nbd2 Qxb2 O-O O-O Qe2 c5 dxc5 Nbd7 c6 bxc6 Rfc1 Ne5 Nxe5 Qxe5 Rab1 Rd8 h3 c5 Qf3 Bd7 Nb3 Be8 Na5 Rac8 Rb7 Rd2 Rxa7 Qb2 Nb3 Rc2 Rxc2 Qxc2 Qb7 Rd8 Bxe6 Qb1+ Kh2 Qg6 Bc4 Qh5 Qe7 Rd7 Rxd7 Bxd7 Nxc5 Be8 Ne6,-1,False
d4 d6 c4 g6 Nc3 Bg7 e4 Nf6 Nge2 O-O f3 e6 Bg5 Nbd7 Qd2 c6 g4 Qc7 Ng3 c5 d5 Ne5 Be2 exd5 cxd5 b5 Nxb5 Qb8 Nc3 Ba6 O-O Bxe2 Qxe2 Re8 h3 h6 Be3 Ned7 Rad1 Kh7 Kg2 Qb4 Rf2 Rab8 f4 Ng8 Qf3 Ngf6 g5 hxg5 fxg5 Ne5 Qf4 Nfd7 Qh4+ Kg8 Bf4 Qc4 Nf5 gxf5 exf5 Nd3 Rxd3 Qxd3 f6 Bf8 Rf3 Qg6 Rf2 Ne5 Rd2 Nd3 Bg3 Rxb2 Rxb2 Nxb2 Qg4 Nd3 h4 Ne1+ Kh3 Qd3 g6 Qf1+ Kh2 Qg2#,1,False
d4 d5 Bf4 e6 e3 Bd6 Nf3 Bxf4 exf4 Qd6 Qd2 Nf6 Nc3 Ne4 Nxe4 dxe4 Ng5 f5 Bc4 h6 Nh3 Nd7 O-O Nf6 f3 O-O Rae1 Bd7 c3 Bc6 fxe4 fxe4 Qe3 Kh8 Bb3 b5 f5 Ng4 Qf4 exf5 Qxd6 cxd6 Nf4 Rf6 h3 g5 Nh5 Be8 Nxf6 Nxf6 Rxf5 Kg7 Ref1 Nh5 Bd5 Rd8 Kh2 Nf4 Bxe4 d5 Bb1 Rd7 Re5 Bf7 g3 Nh5 a3 a5 h4 Nf6 hxg5 Ng4+ Kh3 Nxe5 gxh6+ Kxh6 dxe5 Re7 Re1 Kg5 Kg2 Be6 Kf3 Bg4+ Kf2 Rf7+ Ke3 Rf3+ Kd4 Be6 Kc5 Rxg3 Kxb5 Rg2 b4 axb4 axb4 Rg3 Rc1 Kf4 Kc5 Kxe5 b5 Rg8 b6 Rc8+ Kb5 Kd6 Bd3 Bd7+ Kb4 Ra8 Rb1 Ra4+ Kb3 Kc5 Kc2 Ra8 b7 Rb8 Ba6 Bc6 Rb4 Kd6 Kb3 Kc7 Kc2 Bxb7 Bxb7 Rxb7 Rd4 Kc6 Rh4 Rb6 Rd4 Rb5 Rd2 Rc5 Re2 Rc4 Kd3 Kc5 Re5 Re4 Rf5 Re5 Rf2 Rf5 Rc2 Rf2 Ra2 Rf3+ Ke2 Rxc3 Ra5+,-1,False
g3 d5 Bg2 Bh3 Nxh3 Nc6 Nf4 Qd6 Nxd5 h5 Ne3 h4 Nc3 hxg3 hxg3 Rxh1+ Bxh1 Qh6 d3 Qxh1+ Kd2 Qh5 Ke1 O-O-O Nf1 Nf6 e4 e6 Qxh5 Nxh5 Be3 Nb4 Kd2 Nf6 a3 Nc6 Ke2 Ng4 Nd2 Nxe3 fxe3 g6 Nf3 Bg7 Rh1 Rh8 d4 Rxh1 e5 Rb1 Ne4 Rxb2 Kd3 Ra2 Neg5 Rxa3+ Ke4 Nd8 Nxf7 Nxf7 Ng5 Nxg5+,-1,True
d4 e5 dxe5 Nc6 Nf3 d5 Nc3 d4 Ne4 Qd5 Ng3 Bg4 e4 Bb4+ c3 Qc5 cxb4 Nxb4 Bd3 Ne7 O-O Nec6 a3 Nxd3 Qxd3 Bxf3 Qxf3 Nxe5 Qh5 d3 Bf4 Nd7 Qxc5 Nxc5 Rad1 Rd8 Bg5 f6 Be3 Nb3 Nf5 c5 Nxg7+ Kf7 Nf5 c4 f4 b5 e5 fxe5 fxe5 Ke6 Nd6 Kxe5 Nxb5 Ke4 Nc3+ Kxe3 Rf3+ Kd4 Rf4+ Kc5 Rf5+ Kc6 Rf6+ Kb7 Rf4 Nd4 Kf2 Rhe8 Rd2 Nb3 Rf7+ Ka8 Rd1 Nd4 Nb5 Nxb5 Kf1 Nd4 Rf2 Nc2 Rf3 Ne3+ Rxe3 Rxe3 Rd2 Rde8 Rf2 Re1#,-1,True
e4 e6 Qe2 d5 exd5 Qxd5 Nc3 Qd8 Nf3 Nf6 g3 Be7 Bg2 O-O O-O c5 Rd1 Nc6 d4 cxd4 Nb5 Qb6 Nbxd4 Bd7 Be3 Qxb2 Rab1 Qa3 Rxb7 Rfd8 Rxd7 Rxd7 Nxc6 Bf8 Rxd7 Nxd7 Nfe5 Nxe5 Nxe5 Rc8 Be4 Qxa2 Kg2 g6 Qf3 Rc7 Ng4 Bg7 Nf6+ Kh8 Bd4 Qa4 c3 Qb5 Qf4 Rc8 Ng4 f5 Bxg7+ Kxg7 Qh6+ Kh8 Nf6 Qd7 Nxd7 fxe4 Nf6 Rc7 Qf8#,1,True
e4 e6 Qe2 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 g3 Be7 Bg2 O-O O-O c5 d4 cxd4 Nxd4 Rd8 Nb3 Qa6 Bf4 Qxe2 Nxe2 Nc6 Rfd1 Nd5 Bd2 h6 c4 Nf6 Rac1 Bd7 Be3 a6 Bb6 Rdc8 Nc5 Bxc5 Bxc5 Be8 b3 Ne5 Bd4 Ned7 h3 Rab8 Ba7 Ra8 Bxb7 Rxa7 Bxc8 Nc5 b4 Na4 c5 Kf8 Rd6 a5 Ra6 Rc7 Ra8 axb4 c6 Nb6 Bb7 Ke7 Nd4 Nbd5 Nb5 Ne4 Nxc7 Nxc7 Rc8 Kd6 Rxe8 Nxe8 Rd1+ Kc5 Re1 Nc7 Rc1+ Kb6 a3 Nc3 axb4 N7d5 Rxc3 Nxc3 c7 Kxc7 Bf3 Nb5 Be2 Nd4 Bd3 Ne2+ Bxe2 Kb6 Bf1 f5 g4 f4 g5 e5 gxh6,1,True
